10000 30000
145 321 143
146 8118 38
146 4294 145
147 6515 165
147 1027 101
147 1069 195
147 439 2
148 9793 197
148 5885 83
148 8139 138
148 5720 41
149 1889 61
149 4311 135
150 2453 176
150 3859 32
150 4331 59
151 9731 70
151 3536 181
151 5837 172
151 7621 164
152 5856 111
152 4691 67
153 7203 126
153 4841 128
153 3419 31
154 9362 16
154 1253 100
155 3372 78
155 5688 110
155 1847 176
155 9243 2
156 8962 102
156 2854 109
157 8954 141
157 918 134
157 6825 45
158 948 159
158 5509 51
158 2706 151
158 2808 1
159 5909 94
159 4793 125
159 8049 17
159 4849 112
160 4550 156
160 5416 9
160 9043 182
160 297 72
161 668 34
161 1445 61
162 2541 188
162 1606 153
162 7514 44
162 1132 29
163 911 178
163 9493 103
163 1473 3
164 6094 105
164 3100 55
165 2883 3
165 8058 83
166 2805 142
166 7078 167
166 6627 50
166 3102 149
167 5544 98
167 8239 89
168 4777 121
168 9909 118
169 5999 0
169 2186 55
170 3455 120
170 5646 72
171 6662 34
171 8767 75
172 161 36
172 9446 107
172 4622 135
173 7725 48
173 6049 120
173 209 36
174 4342 186
174 6069 116
174 1675 29
175 2476 53
175 1590 14
175 9620 106
175 6422 168
176 6217 143
176 1379 47
176 3739 23
176 7837 169
177 51 49
177 2562 46
177 2207 52
178 1755 0
178 5966 54
179 690 144
179 7438 111
180 3988 190
180 6206 169
180 9929 116
180 8524 163
181 9330 25
181 1032 140
181 2861 23
182 2251 142
182 5596 18
182 3062 147
183 816 101
183 5194 131
183 5394 168
184 7978 2
184 346 55
184 8149 2
185 8400 160
185 7733 74
186 6021 55
186 9573 125
186 6195 106
186 1580 197
187 8631 145
187 7137 113
187 2051 195
188 1391 28
188 6464 59
189 6228 197
189 1703 27
190 7045 3
190 790 67
190 4674 31
191 1030 127
191 6288 93
192 556 79
192 4595 183
192 1893 146
193 7031 74
193 556 85
193 7358 168
193 1293 125
194 5281 124
194 8114 117
195 9283 112
195 3314 94
196 2898 43
196 3831 79
197 7816 192
197 3504 4
197 9479 127
198 8964 122
198 1429 69
199 3341 189
199 9658 38
199 831 124
199 4050 86
200 7918 128
200 4322 50
200 1377 104
201 1320 69
201 4835 50
201 8262 45
201 2827 99
202 5305 76
202 6900 111
202 3876 119
203 4016 55
203 563 145
203 8 9
204 7850 52
204 9646 43
205 2382 24
205 3237 177
205 2030 178
205 9527 67
206 8280 7
206 9801 120
207 9712 107
207 6082 81
208 8204 29
208 4711 163
209 3285 56
209 5455 81
209 3405 123
209 3767 22
210 7109 119
210 4392 200
211 8233 53
211 2562 128
211 1699 176
212 8456 6
212 1630 12
212 4179 130
212 5260 78
213 2601 21
213 87 4
213 975 34
213 9982 190
214 384 65
214 1354 72
214 9159 44
214 5729 9
215 7546 62
215 416 126
215 9485 127
216 4991 155
216 1262 72
216 1125 155
217 3593 123
217 6726 193
217 3668 141
217 321 155
218 2082 76
218 9869 20
218 2176 113
219 3389 154
219 5531 161
220 1180 79
220 8879 142
220 1353 69
221 5432 121
221 2835 77
221 2827 162
221 618 90
222 8783 124
222 6419 6
223 5623 104
223 2925 65
223 4166 88
224 1554 29
224 3885 117
224 1341 28
224 8650 15
225 8438 20
225 288 58
226 4595 195
226 3324 11
227 8252 143
227 9640 35
228 3538 102
228 8887 136
228 9917 14
229 2334 84
229 463 105
229 6640 40
229 1156 79
230 2 129
230 3992 21
230 8631 44
230 9169 117
231 752 131
231 7136 110
232 8840 186
232 4761 169
232 5170 173
232 0 81
233 4328 104
233 3927 180
233 6530 55
234 1983 103
234 7522 57
235 593 170
235 3054 67
236 3045 137
236 6699 19
236 7504 186
237 218 86
237 6573 1
237 2252 174
237 1282 23
238 403 70
238 8870 66
238 4547 127
239 2669 130
239 2675 113
239 3496 63
239 2883 70
240 9567 168
240 8459 35
240 5013 51
241 612 29
241 6002 103
242 7061 146
242 7211 183
242 9649 99
243 8773 71
243 1163 164
243 3141 171
243 4521 145
244 2538 52
244 6608 198
244 4423 135
245 6763 117
245 8172 161
245 3777 86
246 1789 111
246 1004 90
246 3395 175
247 5435 82
247 2503 14
247 2428 30
247 2764 28
248 5647 61
248 9964 48
249 8516 55
249 738 113
250 2406 155
250 8541 2
251 2213 164
251 5149 198
252 8346 26
252 8573 128
253 8036 177
253 3698 81
254 3490 151
254 1929 130
254 9868 15
254 7349 65
255 1075 26
255 2326 172
256 1875 148
256 2576 137
256 4478 1
257 766 35
257 2384 128
257 2558 4
257 6185 0
258 7902 50
258 6049 147
258 7562 124
258 2545 79
259 6246 164
259 7806 112
259 8133 101
260 4241 113
260 5207 173
260 7031 38
261 6998 166
261 9149 129
261 9527 79
262 6820 30
262 7537 18
262 8880 161
262 7662 33
263 51 98
263 7234 48
264 6414 169
264 9806 124
264 969 105
265 1347 103
265 9199 178
266 3175 54
266 9793 105
266 7616 184
266 284 61
267 2618 146
267 1679 179
267 5700 85
268 9828 122
268 1892 61
269 150 187
269 911 1
270 8979 200
270 5414 183
270 6122 98
271 7027 130
271 7986 129
272 2627 123
272 5104 177
272 6530 22
273 9861 133
273 5632 142
273 9234 159
274 1703 15
274 4927 154
275 3135 123
275 6311 57
275 1839 191
275 7588 95
275 1498 116
276 4342 109
276 4037 169
277 7450 124
277 2654 151
278 5609 82
278 829 147
278 3857 121
279 6685 13
279 8926 79
279 9631 91
279 8115 5
279 2909 86
280 1908 195
280 1243 166
280 2230 83
281 3369 31
281 9774 167
281 6431 145
281 136 62
282 5809 66
282 8670 119
282 4485 161
283 6187 31
283 6128 3
283 7204 23
283 4041 8
284 8130 9
284 4242 108
285 6241 91
285 7821 104
285 3224 127
285 1008 82
286 1461 89
286 1047 70
286 304 44
286 5264 163
287 8242 126
287 3914 5
287 7872 54
287 8701 77
288 1838 158
288 6245 91
289 8947 42
289 2406 17
289 7765 173
290 8336 33
290 5308 59
291 2476 83
291 2030 199
291 7179 85
292 4327 141
292 9758 188
293 4927 188
293 8025 110
293 6718 108
294 9556 142
294 8953 142
294 5800 95
295 5575 127
295 3916 182
296 7546 143
296 8029 30
296 162 110
297 5829 37
297 5698 85
298 3044 147
298 3715 33
299 4996 123
299 228 54
299 773 84
299 9926 114
299 6170 80
299 5864 57
300 9509 187
300 6890 183
300 4081 7
301 8671 83
301 7651 137
301 5896 52
302 363 124
302 1673 166
303 6120 101
303 4101 111
304 5655 157
304 7373 5
304 531 53
305 4315 151
305 4138 91
305 1142 57
306 7218 145
306 4189 75
306 2321 32
306 5620 141
307 2219 10
307 6789 122
307 7068 68
307 6164 72
308 8627 137
308 4320 12
308 6185 112
309 3816 79
309 3827 190
309 4754 185
309 5832 35
310 8449 26
310 9853 111
310 2432 1
311 5652 7
311 1651 92
311 3266 133
311 3847 32
312 3576 77
312 1576 112
312 6677 116
313 1606 105
313 7429 58
313 184 184
313 9366 53
314 3066 105
314 4054 46
314 2295 173
315 4264 23
315 7491 154
316 2023 117
316 5437 194
316 7345 30
317 2660 125
317 2360 127
318 4119 182
318 5986 167
319 1399 17
319 9002 191
319 931 86
320 5404 184
320 1980 125
320 4905 34
320 6534 137
321 3044 71
321 5373 90
321 785 150
322 9896 49
322 6074 83
322 17 62
322 5131 48
323 6158 40
323 8135 45
323 7249 184
323 8101 185
324 7635 92
324 8583 148
324 5607 126
324 8558 95
325 5742 46
325 9662 92
325 1803 13
326 6427 129
326 420 93
326 9303 102
326 2115 95
327 7408 185
327 4734 157
327 8385 40
328 2376 164
328 2617 10
329 6131 59
329 4007 135
329 9220 39
329 2330 114
330 3875 16
330 8609 24
330 6968 53
331 6804 16
331 6603 49
331 8352 147
331 8111 175
332 946 55
332 682 44
333 6790 99
333 7097 38
333 3565 116
334 3562 17
334 596 94
334 3597 180
334 5122 97
335 9339 166
335 7111 80
335 6837 116
336 3842 93
336 1886 3
336 6037 32
337 8907 18
337 1789 10
337 3064 81
337 1198 30
338 6266 147
338 8331 82
338 8025 15
339 6324 141
339 2822 127
340 3029 181
340 5972 159
340 8740 165
341 3544 119
341 7802 186
341 4241 44
341 4624 171
342 7192 40
342 4822 117
342 81 113
342 1961 111
343 6057 161
343 8182 90
343 5602 37
344 7461 69
344 8228 160
344 5662 111
344 4117 143
345 2804 165
345 1981 181
345 4424 111
345 6828 36
346 9598 5
346 3931 40
346 7166 22
347 9614 35
347 9646 99
347 8106 87
347 5038 22
348 4732 25
348 4687 60
348 1656 194
348 6577 68
349 7410 14
349 5372 95
349 2791 170
350 8231 150
350 5468 54
351 4104 170
351 731 24
352 6889 21
352 1687 14
353 3890 82
353 9860 32
353 5471 151
354 2794 81
354 6386 101
355 8220 9
355 3998 147
355 7672 87
355 4158 94
356 5854 20
356 3435 32
356 2777 195
357 1311 141
357 5311 39
358 2551 103
358 2224 122
359 191 70
359 4044 75
359 6781 148
360 9813 89
360 3247 126
360 408 69
360 1453 184
361 3977 122
361 9021 78
362 9352 28
362 8990 7
362 1275 15
362 4049 173
363 676 62
363 5767 37
363 2963 136
363 6770 55
364 7514 71
364 5414 153
364 5612 108
365 3624 15
365 3988 121
366 2699 133
366 8810 17
366 1284 104
366 6633 24
367 514 197
367 8531 182
367 6512 149
367 3953 27
368 3574 59
368 1365 95
369 9733 6
369 1528 23
369 9648 140
369 2981 87
370 1653 196
370 2077 140
371 7139 50
371 5275 39
371 5469 135
371 4195 38
372 8203 143
372 6670 180
372 2214 72
373 4061 99
373 1838 20
373 3397 186
374 5805 20
374 5269 157
374 2679 78
375 4128 179
375 2241 148
375 4092 0
375 7462 106
376 6829 12
376 5496 53
376 8607 12
377 671 7
377 4499 128
378 5011 10
378 7392 107
378 7170 97
379 8150 151
379 6267 147
379 3527 76
379 2796 138
380 5892 175
380 528 3
380 3206 79
381 2194 149
381 2351 43
381 5793 158
382 5231 91
382 5077 67
382 1366 55
383 355 198
383 9351 82
384 4640 143
384 9531 163
384 1308 46
385 6335 96
385 5246 190
385 341 62
385 5304 56
386 2660 108
386 7167 171
386 3648 135
386 1743 38
387 4913 194
387 9134 131
388 9735 12
388 9193 57
388 6271 116
389 9393 53
389 2719 152
390 7946 47
390 6156 78
391 9380 58
391 4543 173
391 9333 188
391 6333 128
392 2151 89
392 3138 164
392 9987 34
393 9983 140
393 6438 170
393 8134 127
394 7512 192
394 3265 132
394 6300 12
395 9041 24
395 7101 78
396 896 140
396 2034 182
396 7450 72
397 8450 147
397 4223 26
397 8811 183
397 731 99
398 4938 105
398 5543 123
399 3287 0
399 4580 110
399 5992 168
399 5418 176
400 7063 129
400 8606 69
400 9048 52
400 1420 50
401 9065 100
401 6334 129
401 4220 27
402 6492 168
402 603 164
403 1179 49
403 3259 109
403 2780 185
404 3833 157
404 8331 24
405 2932 91
405 9362 44
405 6090 89
406 9552 52
406 3572 93
406 7069 153
407 7902 95
407 3391 89
407 7961 0
408 9661 132
408 3428 22
409 4562 40
409 8453 88
409 5908 14
409 976 88
410 5165 138
410 5069 100
411 5651 199
411 7078 79
411 4681 198
412 5960 38
412 9275 29
412 4273 5
412 4412 163
413 3261 126
413 6931 84
413 7505 9
414 7008 83
414 2909 186
415 5293 179
415 2732 139
416 9643 181
416 7670 67
416 7057 60
416 1307 102
417 7 147
417 8546 7
417 456 103
417 5160 76
418 1479 63
418 604 56
418 7732 54
418 5086 90
419 350 105
419 8521 130
419 6396 177
420 2007 181
420 9387 122
421 6350 92
421 7572 103
422 2538 115
422 9302 145
422 3695 143
423 7278 16
423 3416 195
424 2675 44
424 9574 136
424 734 89
424 6407 28
425 8104 5
425 4069 192
426 2747 35
426 2035 187
426 8529 132
426 2910 149
427 1905 145
427 238 3
428 138 165
428 6613 76
428 8663 189
429 6120 79
429 1984 128
429 5473 79
429 1777 181
430 543 146
430 689 27
430 9018 162
431 1314 69
431 2160 191
432 8252 166
432 3015 149
432 1429 168
432 231 169
433 3413 111
433 387 61
433 3644 171
434 2247 155
434 4935 1
434 9651 117
435 5751 19
435 9240 143
436 2802 191
436 5609 37
436 2156 125
437 1896 32
437 3185 93
437 553 94
437 117 189
438 9330 9
438 1612 14
438 5562 176
439 1087 79
439 6054 33
439 4366 189
440 4941 66
440 1970 112
440 3763 15
441 3905 69
441 6820 31
442 8504 40
442 9998 182
442 9135 99
443 5674 2
443 2969 82
443 7400 87
443 6359 69
444 5764 48
444 4546 117
445 3438 163
445 4198 138
445 3472 31
446 4836 135
446 5135 119
447 7053 175
447 9395 171
448 7751 30
448 7528 81
449 3413 106
449 4199 39
449 6160 1
449 5276 80
450 3121 7
450 3482 153
450 5584 42
451 3805 83
451 233 193
452 1062 8
452 4925 193
453 4904 21
453 2403 21
453 7764 117
454 6610 53
454 7065 61
454 4522 153
454 1642 157
455 4462 148
455 5980 103
455 7230 143
455 4806 139
456 6803 182
456 3206 4
457 6776 152
457 7242 76
457 6322 183
457 6481 168
458 9573 149
458 4326 9
458 5241 4
458 7587 86
459 8797 64
459 8986 146
459 9023 71
460 837 173
460 5376 34
461 6539 151
461 82 37
462 8006 22
462 5337 48
463 9535 91
463 4057 76
463 3968 101
464 9558 198
464 2754 109
465 5723 169
465 21 199
465 5852 0
466 4232 82
466 1432 106
467 5749 200
467 1727 91
467 9104 165
468 5159 119
468 9789 120
469 2540 6
469 464 195
469 8620 57
470 1137 136
470 2520 191
470 7829 18
471 6229 115
471 748 182
471 7123 96
471 476 69
472 3980 74
472 5589 136
472 299 42
473 8792 90
473 9729 165
473 2013 33
473 3612 90
474 1657 174
474 8555 33
474 5356 183
475 5918 163
475 3224 187
476 2383 2
476 5995 141
477 8243 45
477 2142 78
478 5432 101
478 3 3
478 1726 112
478 2074 134
479 157 155
479 8469 11
480 2848 77
480 5360 193
480 6689 183
481 5332 161
481 2193 1
481 4056 131
482 9206 73
482 5920 13
482 1545 32
483 7876 175
483 4878 150
483 603 73
484 8991 161
484 6580 193
484 7058 108
484 9601 199
485 8548 49
485 5033 154
485 4380 7
486 8599 137
486 1239 48
486 1687 11
486 7683 169
487 8433 115
487 8563 29
487 288 60
487 949 111
488 5503 130
488 129 43
488 2387 105
488 2654 6
489 6049 63
489 5890 164
489 8024 188
489 6939 62
490 6187 38
490 7475 77
491 4026 83
491 3956 182
491 8754 109
491 5992 102
492 811 96
492 5617 79
492 1214 22
492 3919 21
493 355 113
493 9768 179
494 157 15
494 2022 9
494 1859 64
494 5865 92
495 1256 0
495 6813 77
495 6811 198
495 8928 191
496 2032 156
496 1679 174
497 457 120
497 3566 95
497 8816 158
497 9704 194
498 2335 177
498 6964 18
499 941 120
499 7781 192
500 256 181
500 9603 65
501 6184 75
501 8241 46
501 2931 152
501 3508 94
502 6946 6
502 5960 97
502 2353 73
502 7757 191
503 6053 182
503 2583 94
504 9661 193
504 7826 122
505 7050 54
505 5045 166
505 1024 105
505 812 60
506 6385 50
506 9436 127
506 5749 123
506 5222 147
507 4142 125
507 6181 37
508 6919 150
508 411 35
508 9374 54
509 7157 175
509 1984 44
509 826 104
510 4076 53
510 7662 100
510 5220 32
510 7823 79
511 2277 158
511 2468 15
512 5240 200
512 7176 190
513 1327 147
513 349 32
513 3049 98
514 87 191
514 8279 152
514 4057 104
514 7653 147
515 2446 112
515 6586 194
515 71 167
515 6441 9
516 9770 121
516 1811 0
517 8636 35
517 4742 94
517 2861 6
518 2868 122
518 3176 147
518 8567 136
519 6348 153
519 3242 10
520 6542 18
520 979 112
520 3896 22
521 8797 176
521 8514 31
521 3906 35
522 3343 97
522 8191 46
522 5567 104
523 4893 59
523 6813 173
523 3347 111
524 3752 78
524 9270 162
524 6500 108
525 4036 125
525 8932 194
526 8981 158
526 2493 106
527 9472 20
527 7173 115
527 7920 63
528 3851 190
528 5965 159
528 7181 175
529 7799 70
529 4 112
529 5318 52
529 3123 133
530 587 161
530 8602 97
530 2430 51
530 2236 163
531 1285 166
531 9676 55
532 7602 115
532 5522 4
532 9030 6
532 1632 9
533 5142 144
533 4340 97
534 3335 184
534 893 48
534 8368 158
534 7066 32
535 1586 182
535 5514 56
535 7604 131
535 5225 145
536 3895 190
536 8739 161
536 5476 198
537 9891 134
537 8457 76
537 5869 118
537 4366 4
538 1474 125
538 1985 83
538 3295 19
539 1602 136
539 6195 91
540 9109 108
540 4589 15
540 2562 37
541 3441 61
541 4252 137
542 6045 24
542 9857 128
543 2696 185
543 9913 70
544 3208 145
544 6908 198
545 2518 11
545 9881 193
546 6506 169
546 439 59
546 4271 125
547 3013 35
547 9583 81
548 2784 50
548 2345 9
548 147 6
549 6443 180
549 126 105
549 3250 159
549 5012 64
550 4857 32
550 2743 90
550 3185 0
550 2538 72
551 2734 167
551 170 185
551 3897 108
552 9807 141
552 1740 164
552 5627 80
552 1358 8
553 1091 192
553 375 198
554 2665 146
554 9658 179
554 6390 73
554 2078 197
555 9277 125
555 5003 181
556 5862 37
556 2922 44
556 1784 21
556 5474 35
557 902 62
557 9947 96
557 6097 181
558 2349 15
558 2272 179
558 7985 88
558 4778 24
559 8667 115
559 2411 83
559 4435 102
560 6264 56
560 9727 27
560 6211 21
561 2932 2
561 2816 30
562 6784 164
562 58 7
562 4420 81
562 8607 99
563 9635 41
563 6424 162
563 7063 119
564 2905 89
564 938 71
564 8439 148
564 4449 196
565 2142 8
565 3024 140
565 6193 106
565 9267 125
566 3577 169
566 6354 119
566 1050 133
567 6714 173
567 835 57
567 1625 41
568 4683 2
568 6293 12
568 2888 10
569 4325 187
569 489 21
569 722 80
569 5702 198
570 3980 105
570 3654 116
570 8058 125
570 718 170
571 9769 56
571 8304 26
572 6526 61
572 9774 184
572 225 197
573 8217 129
573 9752 12
573 4280 59
574 8464 163
574 5769 16
574 376 13
575 9349 68
575 2659 136
576 352 62
576 8363 30
577 9921 64
577 9894 165
577 8396 32
578 1377 117
578 1812 110
578 107 65
579 5607 159
579 3847 49
580 7186 54
580 8413 118
580 7039 130
581 7913 147
581 7141 16
582 1249 141
582 4441 133
582 8806 46
582 9738 138
583 2471 143
583 2483 94
584 9153 51
584 8109 141
585 4328 105
585 7180 82
586 6339 51
586 278 68
586 9001 18
586 2024 176
587 6359 132
587 8576 58
587 5037 2
587 4569 99
588 7969 141
588 6249 58
589 6474 80
589 394 46
589 6150 117
590 2448 95
590 1058 65
590 5059 111
590 8121 157
591 5672 19
591 3173 74
591 3847 1
592 2656 98
592 2268 137
593 4923 180
593 7804 177
593 6166 70
594 848 80
594 1525 140
595 4822 123
595 224 110
595 9597 26
595 5868 155
596 6007 167
596 2770 84
596 5216 44
596 8677 130
597 2904 130
597 3179 44
598 8177 72
598 1400 150
598 123 19
598 5293 177
599 4600 148
599 7761 161
600 1999 121
600 3464 103
601 3158 131
601 8588 76
601 8711 9
602 2663 37
602 6173 145
603 1866 165
603 7359 131
604 7423 60
604 2750 108
604 6891 186
604 2941 89
605 2539 74
605 4506 187
606 791 139
606 6720 67
606 5063 39
606 2996 13
607 2751 111
607 3855 76
607 5434 87
608 2200 174
608 4091 29
609 215 45
609 8469 20
609 3437 131
609 1057 56
610 5298 91
610 8178 45
610 8040 119
611 967 23
611 2993 17
612 5630 60
612 7739 106
612 9351 149
612 395 143
612 802 163
613 5458 175
613 5498 47
614 4733 169
614 2870 190
614 5770 178
614 1360 86
615 4379 120
615 1725 46
616 7770 84
616 8532 92
616 2001 147
616 1234 129
617 1562 14
617 1134 172
617 3826 72
618 8429 76
618 7428 23
619 5044 175
619 4438 40
620 7531 60
620 6915 141
620 2136 85
620 3731 168
620 1877 149
621 3768 101
621 1050 57
622 4128 163
622 3253 5
623 3932 16
623 8322 68
623 9139 33
623 5624 175
624 6686 99
624 743 116
624 112 196
624 9105 170
625 6252 5
625 5309 48
626 8745 35
626 9 95
626 4250 30
626 4889 40
627 4455 17
627 6635 101
627 3607 78
628 8382 67
628 9763 40
628 3851 63
629 6494 26
629 4571 66
629 5007 8
629 4070 162
630 5457 180
630 7343 172
631 6775 103
631 2164 80
631 6685 136
631 9500 171
632 2888 170
632 7372 151
632 8745 135
632 962 147
633 3995 81
633 6097 100
634 2395 178
634 4313 84
635 390 19
635 7782 5
635 8151 185
636 3009 161
636 5530 116
637 9963 50
637 3752 155
637 7030 58
638 7720 151
638 9033 82
638 2990 122
639 2768 102
639 9437 182
640 3316 29
640 1871 72
640 7521 22
641 446 24
641 8742 104
641 2616 161
642 1371 87
642 5185 139
642 6631 116
643 4738 98
643 3758 141
643 6132 153
643 4494 42
643 4477 108
644 8174 74
644 8222 29
644 4980 5
645 82 33
645 5260 139
646 7492 132
646 2185 184
647 5568 103
647 9831 33
647 2294 23
647 7940 168
647 2957 110
648 8099 77
648 4890 73
649 8174 110
649 6067 139
650 2485 151
650 2868 98
650 5052 101
651 6812 177
651 150 62
651 9317 132
651 8219 106
651 6433 159
651 7251 73
652 9714 88
652 429 172
652 2914 92
652 1490 186
653 4511 123
653 1345 14
653 7937 143
654 6876 174
654 7517 106
654 3297 99
655 6222 56
655 8462 197
656 7827 93
656 5910 105
656 6630 120
656 4950 174
657 4478 36
657 5375 189
657 8410 184
658 9919 44
658 6049 24
658 1975 54
659 1138 55
659 3142 134
659 8928 124
660 461 184
660 9104 166
660 4903 64
660 5492 189
661 1232 59
661 1626 110
661 9797 40
661 8408 161
662 4491 23
662 9450 49
663 8925 77
663 5066 189
663 1274 83
663 2072 41
664 984 18
664 9730 121
665 8492 85
665 425 15
666 7381 28
666 1574 77
666 2634 22
666 474 127
667 4652 157
667 376 107
667 5590 75
668 3384 96
668 6338 198
668 4254 70
668 2253 181
669 3735 111
669 1783 75
669 2170 23
669 114 156
670 8444 37
670 8564 105
670 7377 159
671 8911 38
671 992 134
671 3136 50
671 1090 132
672 3696 143
672 5551 89
672 4846 55
673 2455 159
673 7775 64
